ID,NAME,EXPLANATION,MIX,SPRITE
D022,고양이의 습성,진화된 고양이는 개인주의에서 벗어나 공동체적 습성을 조금씩 가지게 되었고 이내 마을을 형성하기에 이르렀다. 몇몇 고양이들의 경우 공동체 중심적 사고가 강해 '나'보다는 '우리'라는 말을 자주 사용하기도 한다. 그러나 아직 개인주의적 습성이 남아있어 서로의 생활에 간섭하는 것을 싫어하며 서열정리를 확실히 하는 경향이 있다.,X,고양이의 습성
D023,옛날사진,귀없는 고양이들이 강제이송되는 장면이 찍혀있다. 날짜는 묘향력 699년 1월 12일. 327이라는 숫자가 써 있다.,X,옛날사진
D024,그들의 시작,귀 없는 마을의 고양이들은 그들이 시작을 날짜로 치지 않고 처음 강제 이송되던 때의 고양이 수로 생각한다. 이후 숫자를 배로 불려 다시 전쟁을 일으키키 위한 것으로 추정된다.,X,그들의 시작
O001,회중시계,동생이 남긴 물건. 동생과 귀 없는 마을에 대해 알 수 있는 결정적인 단서,X,회중시계
O002,증명사진,성인이 되던 해 찍었던 증명사진,O,증명사진
O003,족집게,가끔 털을 뽑을 때 쓰던 족집게,X,족집게
O004,액자,"묘향력 805년, 7월 15일. 동생과 함께 찍은 사진이다..",X,액자
O005,쥐돌이 인형,어릴 적 가지고 놀던 쥐돌이 인형,X,쥐돌이 인형
O006,열쇠,은빛이 도는 작은 열쇠. 어디에 쓰는 걸까?,X,열쇠
O007,숟가락,단단한 철 숟가락,X,숟가락
O008,동전,바텐더에게서 받은 동전,X,동전
O009,바텐더의 털,목숨 걸고 뽑아온 바텐더의 털. 검은빛이 돈다.,O,털
O010,바 손님의 털,바 손님의 털. 굉장히 곱다.,O,털
O011,바 명함,"현장에 놓인 유일한 단서, 바 이름이 적혀있다.",X,바 명함
O012,범인의 털,납치범의 털로 추정. 뭔가 얼룩이 많이 있다.,X,털
O013,형사의 털,몰래 뽑아온 형사의 털. 보송하다.,O,털
O014,경찰의 털,흔하디 흔한 경찰의 털,O,털
O015,꼬맹이 아버지의 털,양심과 맞바꿔 뽑은 꼬맹이 아버지의 털. 관리가 잘 되어있다.,O,털
O016,헛개수,경찰이 건네준 헛개수. 피로에 좋다.,X,헛개수
O017,은가루,꼬맹이 아버지에게서 받은 은가루. 귀하디 귀한 최고급 은가루이다.,O,은가루
O018,양피지,범인이 남기고 간 동생의 쪽지. 표식이 있다.,X,양피지
O019,노숙묘의 털,노숙묘의 털이다. 뭔가 냄새가 나는 것 같기도 하고…,O,털
O020,꽃,꽃은 꺾으면 안되지만….,O,꽃
O021,꽃목걸이,손수 만든 꽃목걸이,X,꽃목걸이
O022,은가루(?),동상에서 긁어온 은…?가루,O,은가루
O023,보안관 신분증,보안관의 신분증,O,보안관 신분증
O024,보안관 신분증(위조),주녕의 사진이 박힌 위조 신분증,X,보안관 신분증
O025,우유,우유배달소년이 파는 우유. 신선하다.,O,우유
O026,은가루(?) 섞인 우유,우유배달소년이 파는 우유. 신선하다.,X,우유
O027,은가루 섞인 우유,은가루가 섞인 우유,X,우유
O028,꼬맹이의 귀,꼬맹이의 잘린 귀. 날카로운 도구로 잘랐으나 한 번에 깔끔하게 잘리지 않고 힘들게 절단한 것 같다.,X,꼬맹이의 귀
O029,사서 동료의 털,사서 동료의 털. 뭔가 소름끼쳐.,X,털
